"guid";"geom";"address_json"
"0648078a-9d45-4577-af14-12b49e8f017b";POINT (37.618886 54.204617);"{""rus"": ""г. Тула, Октябрьская ул. – ул. Демидовская плотина (Оружейный пер.)"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"6422a0a5-2c2d-4610-bebc-91722ea37827";POINT (37.5826629190378 54.1688958982062);"{""rus"": ""г. Тула, ул. Болдина - Оружейная ул."", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
b17aefd3-8431-4054-a0b5-b0a26eeb9f14;POINT (37.5931054621157 54.1854456631672);"{""rus"": ""г. Тула, Первомайская ул. – ул. Фрунзе"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"92c1cc9e-cfa4-4ef0-91f0-c0a158f547e7";POINT (37.5726628595483 54.1691301221863);"{""rus"": ""г. Тула, ул. 9-мая – ул. Макаренко"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
f0058c02-034f-429a-b932-8638089d8718;POINT (37.6230252453024 54.2347433816421);"{""rus"": ""г. Тула, Аэропорт (Октябрьская ул., 250)"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"37cea6a6-eaaa-4e12-9b4b-b444163a2cc8";POINT (37.616479 54.191903);"{""rus"": ""г. Тула, Советская ул. – пр-т Ленина"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"07190dec-be71-44a2-8d64-c24fb51ebc7b";POINT (37.622509 54.2128);"{""rus"": ""г. Тула, Октябрьская ул. – ул. Максима Горького"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"8a823f01-771f-420e-8971-928cba314a24";POINT (37.611688 54.195984);"{""rus"": ""г. Тула, Советская ул. – Красноармейский пр-т"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"8a734674-e451-4fe1-8b50-3b3b46e334a1";POINT (37.625018 54.218076);"{""rus"": ""г. Тула, Октябрьская ул. – ул. Пузакова"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
cdcab165-cc3a-460f-ae99-024216190ab1;POINT (37.622566 54.189654);"{""rus"": ""г. Тула, Советская ул. – Оборонная ул."", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"64642101-76de-4d38-9a09-c595b0c310d5";POINT (37.604794 54.18133);"{""rus"": ""г. Тула, пр-т Ленина – Первомайская ул."", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
b42c687a-0dc2-49d1-9d6e-0d9e514d29bf;POINT (37.614096 54.193204);"{""rus"": ""г. Тула, Советская ул. – ул. Фридриха Энгельса"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"4cf88651-6c76-46a4-80d0-5dea3e5bcce2";POINT (37.6286864157148 54.2276569624141);"{""rus"": ""г. Тула, Октябрьская ул. – ул. Неман Н."", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"7a04763d-e3ba-4e45-b1df-1d322a449030";POINT (37.6245072514748 54.2333462654037);"{""rus"": ""г. Тула, Октябрьская ул. – ул. Судейского"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"4deed344-b28a-4ecb-818e-252e4fc70a97";POINT (37.67935 54.219052);"{""rus"": ""г. Тула, ул. Щегловская Засека, д. 5"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"86b9b151-ae96-45b1-97b2-20558726245c";POINT (37.6182365086987 54.2413214831852);"{""rus"": ""г. Тула, Октябрьская ул. – ул. Карпова"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"3d9490f4-fb08-4c4c-80ec-ca744a6d9ab4";POINT (37.627888 54.191341);"{""rus"": ""г. Тула, Советская ул. – ул. Дзержинского"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
be579fae-23ff-48ed-a400-0691c6075faa;POINT (37.6119371506259 54.2491761841739);"{""rus"": ""г. Тула, Октябрьская ул. – Большая ул."", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"7080fd33-a510-4b1a-af7e-99fb5abc29d7";POINT (37.625265 54.190082);"{""rus"": ""г. Тула, Советская ул. – Староникитская ул."", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"5481c7a7-fd20-4b84-afb9-d7d2afd599e6";POINT (37.620844 54.2101);"{""rus"": ""г. Тула, Октябрьская ул. – Арсенальная ул."", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"6bd0d45b-c204-4d89-87eb-ff08c5e906ec";POINT (37.5855121948686 54.1714546891764);"{""rus"": ""г. Тула, Оружейная ул. – ул. Мира"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"7bc69835-bbd1-4fc3-b742-6101e3e1e32f";POINT (37.5799264475165 54.1666267574838);"{""rus"": ""г. Тула, Оружейная ул. – ул. 9-Мая"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
"1aa15d03-6814-40c2-9b57-34a55ae7951b";POINT (37.5754334510529 54.1718766491252);"{""rus"": ""г. Тула, ул. Болдина - ул. Макаренко"", ""tur"": ""No TUR"", ""usa"": ""No USA""}"
